cleaned_text,text_cleaned,raw_sentiment_label,raw_sentiment_score,sentiment_category,confidence_level
kalo di keritik di bilangan anak abah,kalau keritik bilang anak abah,Negative,0.979929506778717,negative,high
ini adalah fakta lapanganmakanan bergizi tapi tidak sesuai kenapa masih ada yg bilang untuk menjatuhkan program presiden kritik itu untuk membangun kenapa tidak suka,fakta lapanganmakanan gizi tidak sesuai bilang jatuh program presiden kritik bangun tidak suka,Negative,0.9998416900634766,negative,high
kalau gak diawasin bener bener yah jadi ladang korup,kalau tidak diawasin bener bener yah jadi ladang korup,Negative,0.9998757839202881,negative,high
katanya bergizi nyatanya bikin penyakit,kata gizi nyata bikin sakit,Neutral,0.9992645382881165,neutral,high
mending sekolah gratis smpe sma untk seluruh indonesia,mending sekolah gratis smpe sma untk seluruh indonesia,Neutral,0.9918841123580933,neutral,high
banyak buzzer mulyono disini cuman anak kecil itu gak pandai berbohong kayak buzzer,banyak buzzer mulyono sini cuma anak kecil tidak pandai bohong kayak buzzer,Negative,0.9997045397758484,negative,high
stop makan gratis jdikan pendidikan gratis,stop makan gratis jdikan didik gratis,Neutral,0.9990806579589844,neutral,high
di malaysia makan gratis di sedia untuk anak di keluarga pendapatan rm sebulan atau rupiah juta ke bawah makanan di sediakan dikantin dengan menu yg di luluskan oleh kementerian kesihatan,malaysia makan gratis sedia anak keluarga dapat rm bulan rupiah juta bawah makan sedia kantin menu lulus menteri kesihatan,Neutral,0.9993389248847961,neutral,high
hati hati dek nanti disuruh bersyukur,hati hati dek suruh syukur,Neutral,0.6595866084098816,neutral,medium
ubur ubur ikan lele rakyat g butuh makan gratis le,ubur ubur ikan lele rakyat butuh makan gratis le,Positive,0.5513732433319092,neutral,low
bpk prabowo yg terhormat lihat ini program yg bpk unggulkan mbggimana ini bos,bpk prabowo hormat lihat program bpk unggul mbggimana bos,Neutral,0.9990299940109253,neutral,high
ora efektif blasnguwak anggaran tok,ora efektif blasnguwak anggar tok,Neutral,0.9989641904830933,neutral,high
kasih kerjaan bapak nya biar bapaknya yg ngasih makan anak² nya orangtuanya tau persis dan ga mungkin ngasih makanan basi,kasih kerja bapak nya biar bapak ngasih makan anak nya orangtuanya tau persis tidak mungkin ngasih makan basi,Positive,0.5541085004806519,neutral,low
makan urusan org tuanya,makan urus org tua,Negative,0.9993102550506592,negative,high
program tdk ada mampaatkalo pak omon pintar bikin prgram sekolah gratis dan sembako murah lapangan kerja di perbanyak,program tidak mampaatkalo pak omon pintar bikin prgram sekolah gratis sembako murah lapang kerja banyak,Neutral,0.6137783527374268,neutral,medium
hentikan mbg mending dikasih emak nya biar bisa masak sesuka anaknya,henti mbg mending kasih emak nya biar masak suka anak,Negative,0.9984421133995056,negative,high
urusan makan anak biar lah jd urusan ibunya masing tugas negara kasihblapangan pekerjaan buat bapaknya saja g usah repot ngurus makan anak org,urus makan anak biar lah jadi urus ibu masing tugas negara kasihblapangan kerja buat bapak usah repot ngurus makan anak org,Negative,0.9983729124069214,negative,high
di kritik gak mau maunya benerrr ajaa kalo sdh kyk gini siapa yg bertanggung jawab itulah mikirnya makaaann makannnn makannnn aja sdh ada yg mikirin anak anak itu yaitu ortu nya,kritik tidak mau mau benerr ajaa kalau gin siapa tanggung jawab mikirnya makaann makann makann mikirin anak anak ortu nya,Negative,0.9998502731323242,negative,high
bukannya sibuk urus program pak pres malah sibuk bahas pilpres,bukan sibuk urus program pak pres malah sibuk bahas pilpres,Negative,0.9978665709495544,negative,high
stop saja program mbgkasih aja orang tuanya pekerjaannyabiar dapat kasih makan anaknya x seharidari program mbg semua cari untung sedangkan anak banyak yg jd korban,stop program mbgkasih orang tua pekerjaannyabiar kasih makan anak seharidari program mbg semua cari untung anak banyak jadi korban,Negative,0.9987769722938538,negative,high
negara yg sok tau keperluan anak,negara sok tau perlu anak,Negative,0.9998624324798584,negative,high
subsidinya gk main triliunan tpi hasil nya kaya gini klo gk efektif mending gak usah deh makan gratis gini buang anggaran,subsidi gk main triliun tpi hasil nya kaya gin kalau gk efektif mending tidak usah deh makan gratis gin buang anggar,Negative,0.9993504881858826,negative,high
awas ketemu om botak stafsus ntar dimarahi,awas ketemu om botak stafsus ntar marah,Negative,0.999861478805542,negative,high
gak gak pemerintah ga boleh salah ini pasti ada yg salah yang pasti bukan pemerintah titik,tidak tidak perintah tidak salah salah bukan perintah titik,Negative,0.6176601648330688,negative,medium
ya allah semoga adik adik ya sehat ya,allah moga adik adik sehat,Positive,0.9973995685577393,positive,high
makan bergizi di luar negri itu di bkin kek prasmanan dapur nya di sekolah n ada pkrja khusus utk masak n memastikan kebersihan mknan pda saat pengambilan mknan jg ada petugas yg menakrnya,makan gizi luar negri bkin prasmanan dapur nya sekolah pkrja khusus masak pasti bersih mknan pda ambil mknan tugas menakrnya,Neutral,0.999036431312561,neutral,high
kalo sudah begini siapa yg salah dan bertanggung jawab,kalau begini siapa salah tanggung jawab,Negative,0.7273204326629639,negative,medium
periksa itu orang yg mengurus mbg bukan salah pemerintah tapi salah itu oknum yg tidak bertanggung jawab,periksa orang urus mbg bukan salah perintah salah oknum tidak tanggung jawab,Negative,0.9969521760940552,negative,high
ok gas ok gas jogetin ajaaaa pemilih,gas gas jogetin ajaa pilih,Neutral,0.9844825863838196,neutral,high
itu yang menyajikan perlu ditinjau,saji perlu tinjau,Neutral,0.9868307113647461,neutral,high
program buang uang negara,program buang uang negara,Negative,0.9998263716697693,negative,high
lagian ngapain juga negara repot ngasi makan anak skolah kasi aja ibu bpk nya pekerjaan yg layak nanti jg anak nya di kasi makan terbaik oleh org tua nya,lagi ngapain negara repot ngasi makan anak skolah kasi ibu bpk nya kerja layak anak nya kasi makan baik org tua nya,Negative,0.998377799987793,negative,high
sayang bgt terbuang sia sia jd mubajir,sayang banget buang sia sia jadi mubajir,Negative,0.99752277135849,negative,high
kalau menurut saya sih harinya per sekola aja masak nya biar ga kewalahan masak nya jadi buru mubazir,kalau sih hari per kola masak nya biar tidak kewalahan masak nya jadi buru mubazir,Negative,0.9995326995849609,negative,high
jarak kejauhan antara dapur ke sekolah satu dapur terlalu banyak masak nya porsi hingga rbmasak nya di mulai pukul dini hari hingga sampai kesolah dng rentang waktu sampai jam wajar basi,jarak jauh dapur sekolah satu dapur terlalu banyak masak nya porsi hingga rbmasak nya mulai pukul dini hari hingga solah dng rentang waktu jam wajar basi,Negative,0.99967360496521,negative,high
pendidikan gratis ga akan basi,didik gratis tidak basi,Positive,0.999339759349823,positive,high
lbh baik skolah gratis drpd mbgmk ny wo mikir yg terbaik beri pekerjaan pd para orang tua murid yg rata² pengangguran atau krj serabutan,lbh baik skolah gratis drpd mbgmk ny wo mikir baik beri kerja pd orang tua murid rata anggur krj serabutan,Negative,0.9996557235717773,negative,high
gimana kalo seperti ini deddy corbuzier dan badan gizi nasional,gimana kalau deddy corbuzier badan gizi nasional,Neutral,0.9932159781455994,neutral,high
jgn gitu ya ntar dedy marah lo,jangan gitu ntar dedy marah lo,Negative,0.9995812773704529,negative,high
lebih penting pendidikan gratis makan siang gratis,lebih penting didik gratis makan siang gratis,Neutral,0.9906889200210571,neutral,high
dr tray nya aja plastik ity bukan mbg krn standart program mbg tray nya pake yg stainless,tray nya plastik ity bukan mbg standart program mbg tray nya pakai stainless,Neutral,0.9931679368019104,neutral,high
sebaikmakanan buat anak adalah yg di buat oleh tangan ibunya,sebaikmakanan buat anak buat tangan ibu,Neutral,0.9393939971923828,neutral,high
isinya pembenci presiden semua,isi benci presiden semua,Negative,0.9998849630355835,negative,high
yang masak nya gimana itu pangil koki dari jawa sumatra yang masak,masak nya gimana pangil koki jawa sumatra masak,Neutral,0.8743687272071838,neutral,high
program gagal,program gagal,Negative,0.9998828172683716,negative,high
lbh baik turunkan harga sembako dan harga sandang pangan jd tiap klrga mampu kasi anak makaan bergizi walau menu sederhana stidakny mkn lauk sayur dan buah,lbh baik turun harga sembako harga sandang pangan jadi tiap klrga mampu kasi anak maka gizi menu sederhana stidakny mkn lauk sayur buah,Neutral,0.6805630326271057,neutral,medium
astagayayasan apa yg kasih makan,astagayayasan apa kasih makan,Neutral,0.9933857321739197,neutral,high
kebijakan menghamburkan anggaran sudahlah sdh kuduga,bijak hambur anggar sudah duga,Negative,0.643586277961731,negative,medium
perlu diaudit kayak perusahaan jgn disalahin direkturnya bawahannya perlu dipantau ibarat didalam kolam hanya ada ikan kecil perlu dimasukkan ikan besar bahkan hiu biar bisa growup,perlu audit kayak usaha jangan disalahin direktur bawah perlu pantau ibarat dalam kolam ikan kecil perlu masuk ikan besar bahkan hiu biar growup,Negative,0.9901546239852905,negative,high
pantasan negara lain tergiur dgn makan siang gratis prabowo,pantas negara giur makan siang gratis prabowo,Neutral,0.9452056884765625,neutral,high
kasih dedi makan,kasih dedi makan,Positive,0.9984517097473145,positive,high
perlu dikaji ulang,perlu kaji ulang,Neutral,0.999431312084198,neutral,high
pelaksanaan ok tpi kenyataan ya nol dalam kebersihannya,laksana tpi nyata nol bersih,Positive,0.9931984543800354,positive,high
bagus nya sih menu lebih kearah yg tahan lama roti susu atau sayuran juga banyklah yg tahan lama,baik nya sih menu lebih arah tahan lama roti susu sayur banyklah tahan lama,Positive,0.9780240058898926,positive,high
bukan kurang matang tapi emang di kasihnya ayam busuk kalii wkwk kasian amat anak anak nya,bukan kurang matang memang kasih ayam busuk kali wkwk kasi anak anak nya,Negative,0.9998708963394165,negative,high
pengawasan suplayer harus penting,awas suplayer penting,Positive,0.9830323457717896,positive,high
makanya tak usah makanan gratislebih baik pendidikan gratis,makanya tak usah makan gratislebih baik didik gratis,Neutral,0.9785600304603577,neutral,high
program membodohi rakyatdan berpeluang korupsi berjemaah,program bodoh rakyatdan peluang korupsi jemaah,Negative,0.999883770942688,negative,high
suruh makan cahyadi saja,suruh makan cahyadi,Neutral,0.9995928406715393,neutral,high
skolah gratis,skolah gratis,Positive,0.9987633228302002,positive,high
bijaksananya berikan saja uang makan gratis setiap bulannya kepada orang masing² murid spy keluarga yang ngatur sendiri saja makanan berguzi buat anak² mereka,bijaksana ikan uang makan gratis bulan orang masing murid spy keluarga ngatur sendiri makan berguzi buat anak,Negative,0.513785183429718,neutral,low
kan gratis jadi makan saja walaupun makanan tak layak ntar nnti mengeluh ke yg berwajib saja,kan gratis jadi makan walaupun makan tak layak ntar nnti keluh wajib,Negative,0.8922615647315979,negative,high
sudah pasti menu hambar tidak sehat krn dana sudah dipotong utk yg ngasih kerjajd penyedia ya masak apa adanya saja,menu hambar tidak sehat dana potong ngasih kerjajd sedia masak apa ada,Negative,0.999872088432312,negative,high
makan siang gratis cocok buat bapak,makan siang gratis cocok buat bapak,Positive,0.9997445940971375,positive,high
ya anak harus makan siang siapin untuk ribuan anak masaknya dari dini hari oleh penyedia ya gimana ga basi,anak makan siang siapin ribu anak masak dini hari sedia gimana tidak basi,Positive,0.6204323172569275,positive,medium
bgmna tanggapan dedy corbuzier apakah anakanak tetap makan dan diam sja apapun yg dikasih makan sja begitu program yg bagus dan ketika ada masalah perlu disampaikan untuk bahan evaluasi nah kata buzzer tidak usah mengeluh dimna otaknya,bgmna tanggap dedy corbuzier anakanak tetap makan diam apa kasih makan program baik masalah perlu sampai bahan evaluasi nah kata buzzer tidak usah keluh dimna otak,Negative,0.8607453107833862,negative,high
makan siang gratis kata nya selain membantu siswa dan jua membuka usaha umkm baru namun kurang pengawasan,makan siang gratis kata nya bantu siswa jua buka usaha umkm baru kurang awas,Neutral,0.9975168704986572,neutral,high
tapii di sekolah gueh enak njirr,tapi sekolah gueh enak njirr,Positive,0.6979511976242065,positive,medium
program dipaksakan harus jalan tanpa konsep yang bagus dan tranparan sehingga banyak oknum yang bermain mulai di tingkat desa sampai kecamatan segera di efaluasi,program paksa jalan konsep baik tranparan banyak oknum main mulai tingkat desa camat segera efaluasi,Negative,0.9977710247039795,negative,high
yak alloh lg metu makan ber gizi aw kok iso masakan mambu,yak alloh metu makan ber gizi aw kok iso masakan mambu,Negative,0.9903331398963928,negative,high
itu nama nya makan bergizi aduuuh,nama nya makan gizi aduuh,Negative,0.991072952747345,negative,high
udh paling bener semua rakyat kasih mentahnya aja buat dmasak dan dmakan bareng,paling bener semua rakyat kasih mentah buat dmasak dmakan bareng,Negative,0.9981462955474854,negative,high
dimaluku jg menu nya gk berkualitassmpe ada yg keracunan ikan nya bkin gatal dikulit ada yg nasinya keras ada yg blg basi waduh bergizi atau bkin sakit,malu menu nya gk berkualitassmpe racun ikan nya bkin gatal kulit nasi keras blg basi waduh gizi bkin sakit,Negative,0.9998538494110107,negative,high
progamm nya sudah sangatt bagusss cuman masih banyak pekerja mbg yang membuat makanannya asal²lan jadi harus ada yang benar² mantau,progamm nya sangatt baguss cuma banyak kerja mbg buat makan asal lan jadi benar mantau,Positive,0.9995484948158264,positive,high
berikan bantuan uang atau kartu pintar agar makanan dapat disiapkan sendiri,ikan bantu uang kartu pintar makan siap sendiri,Neutral,0.9977582693099976,neutral,high
mungkin makanan nya dikirim dr jakarta,mungkin makan nya kirim jakarta,Neutral,0.9991305470466614,neutral,high
gimana pengawasannya,gimana awas,Negative,0.9976824522018433,negative,high
jadi pembaziran dana pemerintah,jadi pembaziran dana perintah,Neutral,0.9996771812438965,neutral,high
bare minimum makanan gabasi aja gabisa apalagi mau bergizi,bare minimum makan gabas gabisa mau gizi,Neutral,0.9983275532722473,neutral,high
menghamburkan anggaran yg gk bermanfaat,hambur anggar gk manfaat,Neutral,0.999397873878479,neutral,high
yang gak peduli itu ya gurunya dia harus tanggung jawab sebelum disuruh makan murid kan bisa diperiksa dulu sama gurunya,tidak peduli guru tanggung jawab suruh makan murid kan periksa dulu sama guru,Negative,0.9998511075973511,negative,high
mbg akan sllu bermasalahbukannya gk bersyukur tp itu faktanya,mbg sllu bermasalahbukannya gk syukur tp fakta,Negative,0.9988792538642883,negative,high
artinya yg menag tender pengadaan mkanan itu yg perlu di kejarrr,arti menag tender ada mkanan perlu kejarr,Neutral,0.9996988773345947,neutral,high
program omon omon wkkkk,program omon omon wkk,Neutral,0.9995251893997192,neutral,high
gak kebayang gmn sibuknya para bazzer untuk menjilat berita ini supaya program ini selalu kelihatan bagus dimata kaum bansos,tidak bayang bagaimana sibuk bazzer jilat berita program selalu lihat baik mata kaum bansos,Negative,0.999085545539856,negative,high
sudahhjangan kasi vendor kasi ortu saja,sudahhjangan kasi vendor kasi ortu,Neutral,0.9995694756507874,neutral,high
pengurusnya yg salah berikan lah proyek knp org yg tulus dan beretika masih banyak yg baik di negeri ini knp mau di salahkan presiden,urus salah ikan lah proyek org tulus etika banyak baik negeri mau salah presiden,Positive,0.43413329124450684,neutral,low
ooh ternyata bukan cuma di sekolah anak saya aja y udah kali anak pertama saya sakit perut habis mbgakhirnya saya bilang kalau kerasa ga enak mah ga usah dimakankalau anak saya yg kedua ga dimakan tapi dimasukan ke misting dibawa pulang dirumah dibuang sekarang anak saya bilang makanan mbg sekarang rasanya aneh,ooh nyata bukan cuma sekolah anak kali anak pertama sakit perut habis mbgakhirnya bilang kalau rasa tidak enak mah tidak usah dimakankalau anak dua tidak makan masuk misting bawa pulang rumah buang sekarang anak bilang makan mbg sekarang rasa aneh,Negative,0.9998611211776733,negative,high
kalo sdh begini siapa yg tanggung jawab ini,kalau begini siapa tanggung jawab,Neutral,0.9804794788360596,neutral,high
sengaja dikasih makann yg sdh basi biar sisa uangnya di korupsi,sengaja kasih makann basi biar sisa uang korupsi,Negative,0.9998132586479187,negative,high
lebih aman bawa bekal dr rumah masing,lebih aman bawa bekal rumah masing,Positive,0.788851261138916,positive,medium
wali negara lain ingin belajar dgn probowo,wali negara ajar probowo,Neutral,0.999478280544281,neutral,high
stop sudah biar makanan minuman kmbalikan ke org tua siswa dananya utk hal lain saja,stop biar makan minum kmbalikan org tua siswa dana,Negative,0.7651941776275635,negative,medium
lbh baik pendidikan dan kesehatan gratis lbh jelas,lbh baik didik sehat gratis lbh jelas,Positive,0.9263170957565308,positive,high
mentang mentang makan gratis bahan baku nya basi,mentang mentang makan gratis bahan baku nya basi,Negative,0.996277391910553,negative,high
tertipuu jendral omon omon,tertipuu jendral omon omon,Negative,0.9998387098312378,negative,high
𝚙𝚛𝚘𝚐𝚛𝚊𝚖 𝚒𝚗𝚒 𝚋𝚎𝚕𝚊𝚔𝚞 𝚋𝚊𝚒𝚔 𝚑𝚊𝚗𝚢𝚊 𝚍𝚒 𝚔𝚘𝚝𝚊 𝚋𝚎𝚜𝚊𝚛 𝚍𝚊𝚎𝚛𝚊𝚑 𝚓𝚊𝚠𝚊 𝚋𝚞𝚔𝚊𝚗 𝚍𝚒 𝚜𝚎𝚕𝚞𝚛𝚞𝚑 𝚒𝚗𝚍𝚘𝚗𝚎𝚜𝚒𝚊 𝚖𝚒𝚛𝚒𝚜,              ,NEUTRAL,0.5,neutral,low
kocak ya duit ratusan trliun model kya gni,kocak duit ratus trliun model kya gni,Negative,0.9994457364082336,negative,high
kasih paham prabowo,kasih paham prabowo,Positive,0.9995744824409485,positive,high
kalau basi sayur nya masak bumbu nya harus tanek matang jangan setengah matang bumbu sayuran sudah masuk,kalau basi sayur nya masak bumbu nya tanek matang jangan tengah matang bumbu sayur masuk,Negative,0.5347076058387756,neutral,low
oke gas oke gas,baik gas baik gas,Neutral,0.9124363660812378,neutral,high
program yg salah jangan buat mkn gratis lg tapi pendidikan gratis itu lebih penting,program salah jangan buat mkn gratis didik gratis lebih penting,Negative,0.9990009665489197,negative,high
pemerintah ngga perduli itu di konsumsi atau tidak yang penting vendor tetap di bayar dan vendor nya adalah sebagian terhubung ke pegawai negara siapa yang mau buka data nya,perintah ngga duli konsumsi tidak penting vendor tetap bayar vendor nya bagi hubung pegawai negara siapa mau buka data nya,Negative,0.5513346791267395,neutral,low
mantul memang,mantap memang,Positive,0.9997127652168274,positive,high
hal seperti ini sangat mungkin terjadi karena masaknys sekala besar,sangat mungkin jadi masaknys sekala besar,Positive,0.6936289668083191,positive,medium
di sekolah anakku sd belum ada,sekolah anak sd,Neutral,0.996347963809967,neutral,high
ah baru anak kata prabowo,ah baru anak kata prabowo,Neutral,0.997076153755188,neutral,high
bikin defisit negara,bikin defisit negara,Negative,0.9977637529373169,negative,high
mana tanggung jawab pemerintah,mana tanggung jawab perintah,Neutral,0.9847654104232788,neutral,high
waduh jngn protes yantar kena marah dedy corbuzer,waduh jngn protes yantar kena marah dedy corbuzer,Negative,0.9997758269309998,negative,high
knapa pada menyalahkan bpk prabowo pedahal itu bukan bpk prabowo yg masak salahin tuh yg masak nya knapa bisa basi dan hambar,knapa salah bpk prabowo pedahal bukan bpk prabowo masak salahin tuh masak nya knapa basi hambar,Negative,0.9998014569282532,negative,high
selamat datang di negeri omon omon,selamat datang negeri omon omon,Neutral,0.989614725112915,neutral,high
mbg buang biaya ga penting untung anak saya dari sd sy pindahin ke mi walau ga pernah dapat mbg krn pasti basi dan kedaluarsa,mbg buang biaya tidak penting untung anak sd pindahin mi tidak pernah mbg basi kedaluarsa,Negative,0.9993602633476257,negative,high
makanan bergizi makanan beracun,makan gizi makan racun,Negative,0.999813973903656,negative,high
seharusnya ya si ortu lah yang memiliki kewajiban untuk memberikan makan kepada anakanaknya sedangkan pemerintah wajib untuk memfasilitasi sarana dan prasarana penunjang pendidikan agar kualitas muridmuridnya bagus dan maju pemikirannya,si ortu lah milik wajib beri makan anakanaknya perintah wajib fasilitas sarana prasarana tunjang didik kualitas muridmuridnya baik maju pikir,Negative,0.9569792151451111,negative,high
ayamnya juga masih mentah ada daranya rasanya kurang bagus,ayam mentah dara rasa kurang baik,Negative,0.9998526573181152,negative,high
sekolah di sambas pemangkat belum ada makan bergizi gratis,sekolah sambas mangkat makan gizi gratis,Neutral,0.9605574607849121,neutral,high
prabowo banyak negara mahu belajar dari konoha pasal makan bergizi ni hebat program makan bergizi konoha ni,prabowo banyak negara mahu ajar konoha pasal makan gizi ni hebat program makan gizi konoha ni,Negative,0.9909438490867615,negative,high
diganti aja yy bagian masak dan yg pengang proyeknya,ganti yy bagi masak pengang proyek,Neutral,0.9995848536491394,neutral,high
ank sekolah di klurga sya gksu mkn dari prtama hingga skrg,ank sekolah klurga sya gksu mkn prtama hingga skrg,Neutral,0.9996071457862854,neutral,high
bersyukur dekmsh bnyk yg g bs makanprog mbg adlah u mngajarkan kalian bersyukursakit gpp demi negara ini demi presiden kita mnjalankan programnyasakit itu adlh nasionalisme,syukur dekmsh banyak bs makanprog mbg adlah mngajarkan kalian bersyukursakit gpp negara presiden mnjalankan programnyasakit adlh nasionalisme,Positive,0.9967345595359802,positive,high
waduh waswas juga klo mbg seperti ini hasil nya,waduh waswas kalau mbg hasil nya,Negative,0.9994730353355408,negative,high
untuk pemerintah indonesia daripada kasih makan gratis ke anak muridmendingan itu uang di pake perbaikibeli fasilitas sekolah,perintah indonesia kasih makan gratis anak muridmendingan uang pakai perbaikibeli fasilitas sekolah,Neutral,0.9996869564056396,neutral,high
nggak pwrlu makan geratis yg perlu sekolah geratis negri sama suwasta itu baru berguna makan geratis nggak ada arti,tidak pwrlu makan gerat perlu sekolah gerat negri sama suwasta baru guna makan gerat tidak arti,Negative,0.999683141708374,negative,high
oke gas oke gas,baik gas baik gas,Neutral,0.9124363660812378,neutral,high
astagfirullah,astagfirullah,Positive,0.998664379119873,positive,high
lebih baik org tuanya diberikan uang untuk bekal anknya kesekolahbiar ibunya yg masak dirmh amansehat dan terjamin kebersihannya,lebih baik org tua beri uang bekal anknya kesekolahbiar ibu masak dirmh amansehat jamin bersih,Negative,0.9904618859291077,negative,high
ini jelas buangbuang anggaran,jelas buangbuang anggar,Neutral,0.9904583692550659,neutral,high
berani banget nantangin si botak,berani banget nantangin si botak,Negative,0.9993379712104797,negative,high
maaf menurut sy program ini tidak pas karena apa yg berikan belum tentu cocok dgn selera anak lebih baik buatan org tua sendiri sudah tau apa yg d sukai anak mereka,maaf program tidak pas apa ikan cocok selera anak lebih baik buat org tua sendiri tau apa suka anak,Negative,0.9934715032577515,negative,high
sdh hilang mkn gratis,hilang mkn gratis,Neutral,0.9137818813323975,neutral,high
pantas negara lain nk belajar dgn indonesia,pantas negara nk ajar indonesia,Negative,0.9934949278831482,negative,high
menurutku mnding dikasih uang ny buat anakatau roti susubuahan yg msih segeritu yg masak ny gmn smpe bsa basi gtujgn salahin presiden,turut mnding kasih uang ny buat anakatau roti susubuahan msih segeritu masak ny bagaimana smpe bsa basi gtujgn salahin presiden,Neutral,0.5055325031280518,neutral,low
mungkin dari cara pengolahannya atau waktu memasaknya kurang tepat,mungkin cara olah waktu masak kurang tepat,Negative,0.9667715430259705,negative,high
ok gas gas gas sampai mpus,gas gas gas mpus,Neutral,0.5087203979492188,neutral,low
penyedia makanan ala prindavan india sama indonesia tiada bezalebih parah mknan basi tak habis diulang masak lagi untuk esok harikasihan bocilrs,sedia makan ala prindavan india sama indonesia tiada bezalebih buruk mknan basi tak habis ulang masak esok harikasihan bocilrs,Negative,0.9988798499107361,negative,high
mening di kasih uang nya aja sipel,ning kasih uang nya sipel,Neutral,0.9985432624816895,neutral,high
